# Cinquegrana, Heger & Karakas 2025
M      11.0   11.3   11.5   11.8   12.0   12.3   12.5   12.8   13.0   13.3   13.5   13.8   14.0   14.3   14.5   14.8   15.0   15.3   15.5   15.8   16.0   16.3   16.5   16.8   17.0   17.3   17.5   17.8   18.0   18.3
E      1.0   1.0   1.0   1.0   1.0   1.0   1.0   1.0   1.0   1.0   1.0   1.0   1.0   1.0   1.0   1.0   1.0   1.0   1.0   1.0   1.0   1.0   1.0   1.0   1.0   1.0   1.0   1.0   1.0   1.0
Mrem   1.289   1.535   1.322   1.509   1.409   1.411   1.554   10.741   1.529   1.601   9.263   1.428   1.443   1.466   1.482   1.502   1.518   1.555   1.579   1.604   1.596   9.463   9.525   1.814   9.423   1.868   8.874   8.586   8.766   1.638
Cl37  5.635645e-05   5.296581e-05   6.043298e-05   5.757338e-05   6.043543e-05   6.252355e-05   6.226362e-05   1.058046e-05   6.573836e-05   6.640268e-05   2.230936e-05   1.015824e-04   1.041448e-04   1.627197e-04   1.097615e-04   1.092135e-04   1.140415e-04   1.272637e-04   2.315627e-04   1.198824e-04   1.290639e-04   3.573995e-05   3.672751e-05   1.199090e-04   3.990016e-05   1.329064e-04   4.542163e-05   4.825700e-05   4.862456e-05   2.585847e-04
Ar36  3.572437e-03   3.229966e-03   3.820164e-03   3.435311e-03   3.623545e-03   3.692408e-03   3.669667e-03   6.638177e-04   3.929669e-03   3.916877e-03   1.399689e-03   5.100320e-03   5.118673e-03   6.121369e-03   5.107186e-03   5.053794e-03   5.190924e-03   5.437267e-03   5.318724e-03   5.338087e-03   5.332685e-03   2.242324e-03   2.304284e-03   5.071231e-03   2.503336e-03   5.217612e-03   2.849753e-03   3.027644e-03   3.050705e-03   7.246712e-03
Ar38  1.291392e-03   6.305564e-04   1.205266e-03   6.824425e-04   7.191415e-04   7.348644e-04   7.251469e-04   1.273777e-04   8.069053e-04   7.869266e-04   2.685814e-04   1.744253e-03   1.834885e-03   5.079189e-03   1.821662e-03   1.615092e-03   1.621070e-03   4.141273e-03   3.307240e-03   1.819352e-03   1.473331e-03   4.302718e-04   4.421611e-04   1.070673e-03   4.803564e-04   1.109225e-03   5.468292e-04   5.809640e-04   5.853891e-04   5.347164e-03
Ar40  1.061267e-06   1.200106e-06   1.522647e-06   1.498962e-06   1.668569e-06   1.859799e-06   1.799744e-06   2.093619e-07   2.289752e-06   2.079364e-06   4.414465e-07   4.377250e-06   4.829276e-06   1.260218e-05   5.366791e-06   5.448960e-06   6.038452e-06   6.804400e-06   3.024258e-05   7.622813e-06   9.245242e-06   7.071836e-07   7.267228e-07   5.939729e-06   7.894968e-07   6.955330e-06   8.987469e-07   9.548483e-07   9.621192e-07   2.130137e-05
K39   1.761164e-04   1.422068e-04   1.689965e-04   1.512851e-04   1.570204e-04   1.609186e-04   1.616188e-04   2.925259e-05   1.714807e-04   1.715213e-04   6.168037e-05   2.561702e-04   2.483959e-04   9.572666e-04   2.417373e-04   2.340495e-04   2.402156e-04   5.089847e-04   8.209619e-04   2.370058e-04   2.370366e-04   9.881295e-05   1.015433e-04   2.283681e-04   1.103150e-04   2.368049e-04   1.255806e-04   1.334198e-04   1.344360e-04   6.297476e-04
K40   3.572495e-07   2.601066e-07   3.116218e-07   3.020196e-07   3.268948e-07   3.438944e-07   3.350032e-07   4.694468e-08   3.390346e-07   3.492529e-07   9.900678e-08   9.277258e-07   7.330548e-07   3.738450e-05   8.182620e-07   8.303968e-07   8.669430e-07   1.144836e-05   4.125875e-05   9.041453e-07   9.647791e-07   1.588045e-07   1.632082e-07   9.362273e-07   1.773328e-07   1.069258e-06   2.018936e-07   2.145076e-07   2.161605e-07   1.512343e-05
K41   1.250031e-05   1.094255e-05   1.238179e-05   1.172258e-05   1.223232e-05   1.256947e-05   1.258774e-05   2.219351e-06   1.336212e-05   1.332096e-05   4.679599e-06   2.169640e-05   1.857428e-05   4.612860e-05   1.878249e-05   1.879039e-05   1.947183e-05   2.246979e-05   3.625342e-05   1.974372e-05   2.033904e-05   7.496793e-06   7.703945e-06   1.975640e-05   8.369437e-06   2.082162e-05   9.527619e-06   1.012236e-05   1.019946e-05   3.593032e-05
Ca40  2.598614e-03   2.412778e-03   2.838271e-03   2.562388e-03   2.711235e-03   2.757090e-03   2.741322e-03   4.950022e-04   2.936170e-03   2.929654e-03   1.043734e-03   3.853275e-03   3.827952e-03   4.100142e-03   3.737970e-03   3.711124e-03   3.835005e-03   3.611699e-03   3.559395e-03   3.924700e-03   3.953607e-03   1.672078e-03   1.718281e-03   3.804817e-03   1.866712e-03   3.917055e-03   2.125032e-03   2.257683e-03   2.274879e-03   5.071927e-03
Ca42  3.878808e-05   1.713013e-05   3.240487e-05   1.857232e-05   1.952715e-05   1.998456e-05   1.977130e-05   3.469008e-06   2.190825e-05   2.141378e-05   7.314557e-06   5.787913e-05   5.740284e-05   1.446033e-04   5.237140e-05   4.683784e-05   4.970858e-05   9.521672e-05   6.570966e-05   4.513604e-05   3.890226e-05   1.171804e-05   1.204183e-05   3.016837e-05   1.308204e-05   3.151303e-05   1.489237e-05   1.582200e-05   1.594251e-05   1.222515e-04
Ca43  3.871818e-06   3.637946e-06   3.835972e-06   3.877848e-06   4.031208e-06   4.144203e-06   4.175100e-06   7.410806e-07   4.423770e-06   4.444780e-06   1.562601e-06   5.798943e-06   5.503118e-06   3.108572e-05   5.800385e-06   5.867415e-06   6.047447e-06   1.698713e-05   2.056792e-05   6.510902e-06   6.723834e-06   2.503312e-06   2.572484e-06   6.456322e-06   2.794703e-06   6.819256e-06   3.181441e-06   3.380036e-06   3.405782e-06   1.877726e-05
